kind,value_dollars_per_unit,agentId,meanSharpeLike,ci95SharpeLike,meanPnl,ci95Pnl,meanTurnover,ci95Turnover,meanMaxDrawdownPct,meanCostDragProxy
combined,0,noise-1,-0.06698727319671456,0.20079671883908579,-34.66590749154675,107.88200003913286,3534,0,5.3883754349250435,0
combined,0,noise-2,0.07074328578655291,0.29178441515628345,34.131759819587145,141.99334972175546,3676,0,4.294120080608436,0
combined,0,noise-3,-0.012198605336388854,0.2531160993617766,-7.943588379498396,129.14917312482018,3695,0,4.616852143751848,0
combined,0,momentum-1,2.191184477332052,0.8711828241411099,391.48751238123793,157.97754160807733,1795.7333333333333,17.159329722818384,1.1042055849856156,0
combined,0,meanrev-1,-1.0804994039206701,0.3739595636118886,-681.7480755174288,245.7738006023728,585.6,35.57608679481463,8.382538558937618,0
combined,0,marketmaker-1,0.3058486986611849,0.24980094694283678,132.20846063244073,116.10115985753373,1434.6,18.40769540227642,4.076913960921765,0
combined,0.001,noise-1,-0.08011942328021583,0.20081926720132512,-41.733907491568786,107.88200003913012,3534,0,5.418576363815251,7.0680000000000005
combined,0.001,noise-2,0.05552003835934681,0.29178366581329584,26.779759819555753,141.99334972175564,3676,0,4.31742235534533,7.352
combined,0.001,noise-3,-0.026751746215644013,0.25308983463761786,-15.333588379528313,129.14917312481745,3695,0,4.637449453658293,7.390000000000001
combined,0.001,momentum-1,2.1651255392190367,0.8731284461698688,387.8960457145585,157.96509107207348,1795.7333333333333,17.159329722818384,1.1179173927865427,3.591466666666667
combined,0.001,meanrev-1,-1.0825524505286628,0.37387478620949427,-682.9192755174273,245.76632518236843,585.6,35.57608679481463,8.389163403749205,1.1712
combined,0.001,marketmaker-1,0.3026131807247245,0.2497533505553166,130.77386063243225,116.09353043741136,1434.6,18.40769540227642,4.080924526313386,2.8691999999999998
combined,0.0025,noise-1,-0.09981764600724725,0.20085313101844973,-52.335907491517474,107.8820000391281,3534,0,5.466341460646089,17.67
combined,0.0025,noise-2,0.03268521553451888,0.29178259429068515,15.751759819598071,141.99334972176047,3676,0,4.355219715905708,18.38
combined,0.0025,noise-3,-0.04858138649398145,0.2530504751887744,-26.41858837948548,129.1491731248228,3695,0,4.668712509657268,18.475
combined,0.0025,momentum-1,2.1260386271853027,0.8760465082334375,382.5088457145803,157.9464274092964,1795.7333333333333,17.159329722818384,1.1384912106842924,8.978666666666667
combined,0.0025,meanrev-1,-1.0856320195723819,0.37374769226169463,-684.6760755174199,245.75515025159223,585.6,35.57608679481463,8.399101176851035,2.9280000000000004
combined,0.0025,marketmaker-1,0.2977598706775461,0.2496823151113551,128.6219606324501,116.08209084015087,1434.6,18.40769540227642,4.086941205502778,7.173
combined,0.005,noise-1,-0.1326480005757305,0.20090968061325684,-70.00590749150912,107.88200003913157,3534,0,5.54826505289449,35.34
combined,0.005,noise-2,-0.00537267872039829,0.29178094838674073,-2.6282401803815447,141.99334972175427,3676,0,4.419996366921869,36.76
combined,0.005,noise-3,-0.08496391810106663,0.252984976662382,-44.89358837946001,129.14917312482345,3695,0,4.720900853797167,36.95
combined,0.005,momentum-1,2.060897947716667,0.8809089054869993,373.5301790479203,157.9153536940523,1795.7333333333333,17.159329722818384,1.1735956354983113,17.957333333333334
combined,0.005,meanrev-1,-1.0907646319467181,0.3735360616975281,-687.6040755174217,245.73662724699167,585.6,35.57608679481463,8.415665481360099,5.856000000000001
combined,0.005,marketmaker-1,0.2896709333354212,0.24956488147230368,125.03546063244684,116.06303693647398,1434.6,18.40769540227642,4.096971221232335,14.346
combined,0.01,noise-1,-0.19830857812276179,0.20102319081726888,-105.34590749156911,107.8820000391303,3534,0,5.713959179763294,70.68
combined,0.01,noise-2,-0.08148782715888908,0.2917781813736088,-39.388240180444214,141.99334972175512,3676,0,4.5601608820579935,73.52
combined,0.01,noise-3,-0.1577281370482149,0.2528543579610704,-81.84358837952628,129.14917312481884,3695,0,4.828561767112143,73.9
combined,0.01,momentum-1,1.9306335015994367,0.8906294643211973,355.5728457145568,157.85332780978084,1795.7333333333333,17.159329722818384,1.243845418948789,35.91466666666667
combined,0.01,meanrev-1,-1.1010298439891544,0.3731135249287486,-693.4600755174268,245.69996339134732,585.6,35.57608679481463,8.448799152523428,11.712000000000002
combined,0.01,marketmaker-1,0.2734927389517983,0.24933361671768212,117.86246063243112,116.02497450002697,1434.6,18.40769540227642,4.117039572203609,28.692
combined,0.02,noise-1,-0.3296286688177714,0.20125184660569337,-176.0259074915061,107.88200003912762,3534,0,6.056269944646268,141.36
combined,0.02,noise-2,-0.23371477924369427,0.2917747457953395,-112.90824018039014,141.99334972175947,3676,0,4.899204312137113,147.04
combined,0.02,noise-3,-0.30325252862457475,0.25259464378992164,-155.7435883794674,129.14917312482103,3695,0,5.080258807446618,147.8
combined,0.02,momentum-1,1.6701820510300895,0.9100510383519634,319.65817904791805,157.72976289460837,1795.7333333333333,17.159329722818384,1.388817539585189,71.82933333333334
combined,0.02,meanrev-1,-1.12156019712987,0.37227136285233753,-705.172075517416,245.62816508870964,585.6,35.57608679481463,8.515132410471201,23.424000000000003
combined,0.02,marketmaker-1,0.24113513002919143,0.24888555191513975,103.51646063244965,115.94903131915176,1434.6,18.40769540227642,4.157286110596274,57.384
combined,0.05,noise-1,-0.7235693585163595,0.20195071591962907,-388.06590749151746,107.88200003913049,3534,0,7.247919038501082,353.40000000000003
