world,agentId,meanSharpeLike,ci95SharpeLike,meanPnl,ci95Pnl,meanTurnover,ci95Turnover,meanMaxDrawdownPct,trendDrift,meanRevertK,fairNoiseStd,microNoiseStd,switchProb
TREND,noise-1,-0.9302842901281599,2.708970939026277,9.029952355040708,230.94351700272935,3534,0,5.19065998711034,0.02,0.02,0.02,0.02,0.0025
TREND,noise-2,1.766813255102485,2.2014101770116055,65.74242227503298,152.51432844739816,3676,0,3.4237709457717576,0.02,0.02,0.02,0.02,0.0025
TREND,noise-3,0.43740347064949536,2.5046699858531603,-35.183465812464604,173.82163982765434,3695,0,3.8731934088383135,0.02,0.02,0.02,0.02,0.0025
TREND,momentum-1,8.979064621900577,1.1970634602070593,474.28463238003644,144.98738474541977,62.03333333333333,11.240692494450208,0.20964841121825414,0.02,0.02,0.02,0.02,0.0025
TREND,meanrev-1,-1.6870129589577716,2.043856819581447,-185.08563453719736,188.56588097939257,28,2.723648668416233,5.3723824970671235,0.02,0.02,0.02,0.02,0.0025
TREND,marketmaker-1,1.279745225078862,2.4853933796233365,44.730571376214236,167.14596073867963,1434.6,18.40769540227642,3.9778710823929653,0.02,0.02,0.02,0.02,0.0025
MEANREV,noise-1,-0.07117907336518847,0.2368331823997078,-3.7627798602354234,12.19656767244622,3534,0,0.37583148858334064,0,0.25,0.02,0.02,0.0025
MEANREV,noise-2,-0.03425629703724763,0.15261330015032915,-1.5204202738477155,6.964260688947718,3676,0,0.320194952003169,0,0.25,0.02,0.02,0.0025
MEANREV,noise-3,-0.11209103709112336,0.16684156943361658,-5.396871071241124,8.09626552325334,3695,0,0.34449295039658284,0,0.25,0.02,0.02,0.0025
MEANREV,momentum-1,0.2888502325716948,0.15396951919145724,1.388375001930702,0.8410504132519073,5.933333333333334,2.1592403375374967,0.022783152895762014,0,0.25,0.02,0.02,0.0025
MEANREV,meanrev-1,-0.10403502698525179,0.26523820281894184,-0.6610926539038701,1.1893695977736343,3.2333333333333334,2.1381764135540653,0.03779342894945605,0,0.25,0.02,0.02,0.0025
MEANREV,marketmaker-1,1.3065504820839844,0.18563526254148074,60.220251056434854,8.137501908549215,1434.6,18.40769540227642,0.20947726471725134,0,0.25,0.02,0.02,0.0025
CHOP,noise-1,-0.11316179859095185,0.254632141580826,-28.904585435926005,64.3117877002193,3534,0,2.0631676952773983,0,0,0.1,0.1,0.0025
CHOP,noise-2,0.010736457592893149,0.21391656539173284,2.398071680247631,48.407002388371026,3676,0,1.7360675633349254,0,0,0.1,0.1,0.0025
CHOP,noise-3,0.05202902659010834,0.23080270604280517,12.301122148964653,55.129164433095475,3695,0,1.7086994654796008,0,0,0.1,0.1,0.0025
CHOP,momentum-1,-1.69186213981408,0.2645580569476769,-51.805288728596196,7.478158852741366,831.5333333333333,14.138675511732123,0.606312754833907,0,0,0.1,0.1,0.0025
CHOP,meanrev-1,0.10160535432754626,0.22185646674109513,-3.8406725187813207,34.974601922774696,113.93333333333334,11.117236890371114,1.2988561349770897,0,0,0.1,0.1,0.0025
CHOP,marketmaker-1,0.5563447062785768,0.24279021552409355,110.50912537485316,48.18567464312744,1434.6,18.40769540227642,1.1470967325934494,0,0,0.1,0.1,0.0025
